dataset_key,protocol,variant,label,model_key,model_label,family,n_rows,n_features,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,fit_seconds,available,unavailable_reason,vs_baseline_fraction_improved,vs_baseline_wilcoxon_p,vs_baseline_n_folds
p4_p2_after_no_cm,P4,after,"P2 restricted, concept-map-complete cohort, without concept-map features",original_ann,Original ANN (unchanged),ann,1074,137,5,0.1496392012543715,0.04246622181240142,13.301864689644322,0.46250847240268805,10.703589833387388,0.4116424535907716,111.64875069999835,True,,,,0
p4_p2_after_no_cm,P4,after,"P2 restricted, concept-map-complete cohort, without concept-map features",mean,Mean predictor,baseline,1074,137,25,-0.006254973518906954,0.008002924476344493,14.471529619401588,0.5192656332910682,11.688552442311291,0.5541243069186657,1.5449061000035726,True,,0.0,0.0625,5
p4_p2_after_no_cm,P4,after,"P2 restricted, concept-map-complete cohort, without concept-map features",xgboost,XGBoost (tuned),boosted,1074,137,25,0.27212474399329584,0.054947515706006055,12.295338483312714,0.5553130295892321,9.918471007821717,0.4610357244685973,348.7242616000003,True,,1.0,0.0625,5
p4_p2_after_with_cm,P4,after,"P2 restricted, concept-map-complete cohort, with concept-map features",original_ann,Original ANN (unchanged),ann,1074,181,5,0.151365988760324,0.017108434690555875,13.296188919241056,0.4763950219803967,10.592025464718002,0.5166889789461351,115.90327750000142,True,,,,0
p4_p2_after_with_cm,P4,after,"P2 restricted, concept-map-complete cohort, with concept-map features",mean,Mean predictor,baseline,1074,181,25,-0.006254973518906954,0.008002924476344493,14.471529619401588,0.5192656332910682,11.688552442311291,0.5541243069186657,1.6409416999958921,True,,0.0,0.0625,5
p4_p2_after_with_cm,P4,after,"P2 restricted, concept-map-complete cohort, with concept-map features",xgboost,XGBoost (tuned),boosted,1074,181,25,0.27483619265817444,0.049812664888529715,12.276241077809477,0.5737302492826472,9.89351683045515,0.4812825893271977,389.71114540000417,True,,1.0,0.0625,5
p4_p2_before_no_cm,P4,before,"P2 restricted, concept-map-complete cohort, without concept-map features",original_ann,Original ANN (unchanged),ann,1284,191,5,0.17266164894218905,0.07144719598583135,12.31609719890832,0.5967908622428082,9.638223590099473,0.472655486590519,88.54646890000004,True,,,,0
p4_p2_before_no_cm,P4,before,"P2 restricted, concept-map-complete cohort, without concept-map features",mean,Mean predictor,baseline,1284,191,25,-0.004439510719187716,0.004650593589183303,13.570779481756361,0.5266883801069873,10.87645530604105,0.4703798359803034,1.6308706999989226,True,,0.0,0.0625,5
p4_p2_before_no_cm,P4,before,"P2 restricted, concept-map-complete cohort, without concept-map features",xgboost,XGBoost (tuned),boosted,1284,191,25,0.2591626793044382,0.04576317710479946,11.646558204717445,0.5112037380481868,9.026150535374281,0.4179653012457332,360.85439580000093,True,,1.0,0.0625,5
p4_p2_before_with_cm,P4,before,"P2 restricted, concept-map-complete cohort, with concept-map features",original_ann,Original ANN (unchanged),ann,1284,235,5,0.1340218661466402,0.09804568707745176,12.578106394850192,0.5380961145313056,9.886873890846084,0.44770504896602115,85.14814509999997,True,,,,0
p4_p2_before_with_cm,P4,before,"P2 restricted, concept-map-complete cohort, with concept-map features",mean,Mean predictor,baseline,1284,235,25,-0.004439510719187716,0.004650593589183303,13.570779481756361,0.5266883801069873,10.87645530604105,0.4703798359803034,1.7605312000014237,True,,0.0,0.0625,5
p4_p2_before_with_cm,P4,before,"P2 restricted, concept-map-complete cohort, with concept-map features",xgboost,XGBoost (tuned),boosted,1284,235,25,0.2556528780570322,0.05305070839554397,11.6708628240232,0.5148400150134642,9.052898320395913,0.4028333685786087,410.2522863999984,True,,1.0,0.0625,5
p4_p2_diff_no_cm,P4,diff,"P2 restricted, concept-map-complete cohort, without concept-map features",original_ann,Original ANN (unchanged),ann,479,142,5,-0.08641277383428062,0.09440859268521919,12.928967830487528,0.5963642025890129,9.750442058108897,0.5826146101613398,60.62388700000156,True,,,,0
p4_p2_diff_no_cm,P4,diff,"P2 restricted, concept-map-complete cohort, without concept-map features",mean,Mean predictor,baseline,479,142,25,-0.011503007398980207,0.017275963093790588,12.535378265121972,0.8887575626561561,9.395764857518694,0.6682688499301686,1.500531300000148,True,,0.8,0.1875,5
p4_p2_diff_no_cm,P4,diff,"P2 restricted, concept-map-complete cohort, without concept-map features",xgboost,XGBoost (tuned),boosted,479,142,25,-0.04031265135172553,0.06612863570776967,12.693444547092792,0.7781838930637316,9.538457180120934,0.6265388517344981,343.20113780000247,True,,0.8,0.4375,5
p4_p2_diff_with_cm,P4,diff,"P2 restricted, concept-map-complete cohort, with concept-map features",original_ann,Original ANN (unchanged),ann,479,186,5,-0.07619730674386585,0.1013049495841601,12.86466214045069,0.6369242655116231,9.750442056709682,0.40789602063224983,56.192946800001664,True,,,,0
p4_p2_diff_with_cm,P4,diff,"P2 restricted, concept-map-complete cohort, with concept-map features",mean,Mean predictor,baseline,479,186,25,-0.011503007398980207,0.017275963093790588,12.535378265121972,0.8887575626561561,9.395764857518694,0.6682688499301686,1.4637326999945799,True,,0.6,0.4375,5
p4_p2_diff_with_cm,P4,diff,"P2 restricted, concept-map-complete cohort, with concept-map features",xgboost,XGBoost (tuned),boosted,479,186,25,-0.050014437483441865,0.05568956356554983,12.75729547641718,0.8031574514616939,9.635974139505997,0.6252970025824516,362.62456219999876,True,,0.4,1.0,5
p4_p3_before_to_after_no_cm,P4,before_to_after,"P3 restricted, concept-map-complete cohort, without concept-map features",original_ann,Original ANN (unchanged),ann,714,191,5,-0.010624260989083001,0.05874790650952597,14.024563735046964,0.8695488370080092,11.157817238717351,0.6129333056829874,82.31688230000145,True,,,,0
p4_p3_before_to_after_no_cm,P4,before_to_after,"P3 restricted, concept-map-complete cohort, without concept-map features",mean,Mean predictor,baseline,714,191,25,-0.007005998514984615,0.0061018231936120606,14.014940358628301,0.6352533063118594,11.257293300642088,0.5906875885041574,1.534056899996358,True,,0.4,0.8125,5
p4_p3_before_to_after_no_cm,P4,before_to_after,"P3 restricted, concept-map-complete cohort, without concept-map features",xgboost,XGBoost (tuned),boosted,714,191,25,0.13321301359864443,0.04538826209482123,12.998157456869045,0.6766589627068876,10.290464552693324,0.5485805935534673,351.89167689999886,True,,1.0,0.0625,5
