protocol,series,r2_mean,r2_std
P1,best (stacking),0.2773888900801678,0.0359707338547412
P1,original_ann,0.15950414289241835,0.05739847894677977
P2,best (stacking),0.1944467625942651,0.03443208846428993
P2,original_ann,0.07968290101195019,0.05443932872159643
P3,best (stacking),0.1145863950745381,0.0508186838887567
P3,original_ann,-0.0181303565635178,0.0792670661191829
P3b,best (elastic_net),0.2881786655933723,0.0489706218331151
P3b,original_ann,0.1355481155399144,0.0652501275532936
P4,best (xgboost),0.15331440567232932,0.05367345231366595
P4,original_ann,0.045557532640173086,0.06981917603424262
